contentId,title,description,location,start,source,type,currencyCode,amount,url,distance
11,Boston Red Sox vs. New York Yankees,event,"829 Beacon St, Boston, MA 02215, USA",2025-09-14 00:00:00,Ticketmaster,Baseball,N/A,0,https://www.ticketmaster.com/event/Z7r9jZ1A7ub0J,1.4306445995847703
12,Boston Bruins vs. Colorado Avalanche,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-25 13:00:00,Ticketmaster,Hockey,USD,200.0,https://www.ticketmaster.com/boston-bruins-vs-colorado-avalanche-boston-massachusetts-01-25-2025/event/010060D9D4CC7326,4.887467666412114
13,Boston Bruins vs. San Jose Sharks,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-20 13:00:00,Ticketmaster,Hockey,USD,125.0,https://www.ticketmaster.com/boston-bruins-vs-san-jose-sharks-boston-massachusetts-01-20-2025/event/010060D9D4C2731E,4.887467666412114
14,Boston Bruins vs. Edmonton Oilers,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-07 19:00:00,Ticketmaster,Hockey,USD,120.0,https://www.ticketmaster.com/boston-bruins-vs-edmonton-oilers-boston-massachusetts-01-07-2025/event/010060D9D4B87315,4.887467666412114
15,Boston Celtics vs. Detroit Pistons,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2024-12-12 19:30:00,Ticketmaster,Basketball,USD,73.5,https://www.ticketmaster.com/boston-celtics-vs-detroit-pistons-boston-massachusetts-12-12-2024/event/010060EBE47772BA,4.887467666412114
16,Boston Bruins vs. Tampa Bay Lightning,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-14 19:00:00,Ticketmaster,Hockey,USD,100.0,https://www.ticketmaster.com/boston-bruins-vs-tampa-bay-lightning-boston-massachusetts-01-14-2025/event/010060D9D4BD731A,4.887467666412114
17,Boston Bruins vs. Vegas Golden Knights,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-02-08 15:30:00,Ticketmaster,Hockey,USD,190.0,https://www.ticketmaster.com/boston-bruins-vs-vegas-golden-knights-boston-massachusetts-02-08-2025/event/010060D9D4E07356,4.887467666412114
18,Hockey East Final,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-03-21 00:00:00,Ticketmaster,Hockey,USD,33.0,https://www.ticketmaster.com/hockey-east-final-boston-massachusetts-03-21-2025/event/01006179A3731EA2,4.887467666412114
19,Boston Bruins vs. Ottawa Senators,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-01-23 19:00:00,Ticketmaster,Hockey,USD,105.0,https://www.ticketmaster.com/boston-bruins-vs-ottawa-senators-boston-massachusetts-01-23-2025/event/010060D9D4C67320,4.887467666412114
20,Boston Bruins vs. Anaheim Ducks,event,"North Station, 135 Causeway St, Boston, MA 02114, USA",2025-02-22 19:00:00,Ticketmaster,Hockey,USD,170.0,https://www.ticketmaster.com/boston-bruins-vs-anaheim-ducks-boston-massachusetts-02-22-2025/event/010060D9D4E4735E,4.887467666412114
21,Bastille Day Street Dance,A street party of global proportions with live music by three of the French-speaking world's biggest groups! Dance to the sounds of Ricardo Lemvo + Makina...,"53 Marlborough St, Boston, MA 02116",2007-07-14 18:30:00,Yelp,Music,USD,30,https://www.yelp.com/events/boston-bastille-day-street-dance?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,3.5254006446130757
22,Bastille Night 2007,Celebrate Bastille night in style at Louis Boston. Dance to international house music and enjoy complimentary hors d'oeuvres.,"60 Northern Ave, Boston, MA 02210",2007-07-14 19:00:00,Yelp,Music,USD,20,https://www.yelp.com/events/boston-bastille-night-2007?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,6.023153069289804
23,Dancing on the Charles!,There's really nothing better than drinking a cold beer outside on a balmy night except dancing outdoors with a view of the water and the tickle of a cool...,"55 Greenough Blvd, Cambridge, MA 02138",2007-07-14 19:00:00,Yelp,Nightlife,USD,5,https://www.yelp.com/events/cambridge-dancing-on-the-charles?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,2.2887709763916226
24,Forest Hills Cemetery Lantern Festival,9th Annual Lantern Festival   Join us for a moving memorial ceremony inspired by Buddhist rituals. Inscribe a lantern with a personal message to family or...,"95 Forest Hills Ave, Jamaica Plain, MA 02130",2007-07-12 18:00:00,Yelp,Other,USD,10,https://www.yelp.com/events/jamaica-plain-forest-hills-cemetery-lantern-festival?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,6.148136698060368
25,Boston Derby Dames Southie Summer Scrimmages,The Boston Derby Dames will be scrimmaging each other on Sundays from 6-8 pm weather provided. That does not mean that we will provide the weather as much...,"Boston, MA",2007-07-15 18:00:00,Yelp,Outdoors,USD,0,https://www.yelp.com/events/boston-boston-derby-dames-southie-summer-scrimmages?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,4.892752010774022
26,Lick It Good - Office Hours,"N00bs, old school Yelp stalwarts, come hang! I'll be around to answer anything your little hearts desire. What is this new feature and how do we use it?...","159 First St, Cambridge, MA 02142",2007-07-11 18:00:00,Yelp,Other,USD,0,https://www.yelp.com/events/cambridge-lick-it-good-office-hours?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,3.5425425635314753
27,Tuesday Night Movies at Middlesex Fells,G-rated family movies are played at sundown starting tonight (Tuesday) and going through the end of August. For the North 'burbs crowd these are the same...,"78 Stone Pl, Melrose, MA 02176",2007-07-10 19:00:00,Yelp,Family,USD,0,https://www.yelp.com/events/melrose-tuesday-night-movies-at-middlesex-fells?adjust_creative=q_PaZ4cbCD97EB1Hl7lnEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=q_PaZ4cbCD97EB1Hl7lnEA,10.700992499181343
